FT, SB, PRI, CEDp, CEDc are all inversely ranked, but their "fixed" values are recorded here (-1*coeff value).

index            positive   significant     best R2     best year     best coeff                   After 2005
gt80               5/7         0/7          0.01       85-90           0.118                            0.0478
gt81               3/7         0/7          0.007       05-10           0.0219                            0.0219
gt82               4/7         0/7          0.005       05-10           0.0263                            0.0263
gt83               6/7         0/7          0.01       05-10           0.0311                            0.0311
gt84               5/7         1/7          0.02       85-90           0.0553*                            0.0252
gt85               6/7         2/7          0.018       85-90           0.0506                            0.0280*
gt86               6/7         1/7          0.028       85-90           0.0729*                            0.0231
ft75               0/7         0/7          0.005       75-80           -0.0102                            -0.000916
sb00               0/7         1/7          0.012       90-95           -0.0638*                            -0.0311
sb01               0/7         2/7          0.011       90-95           -0.0629*                            -0.0466*
sb02               0/7         1/7          0.011       90-95           -0.0526                            -0.0415*
sb03               0/7         1/7          0.013       05-10           -0.0465*                            -0.0465*
sb04               0/7         1/7          0.012       05-10           -0.0497*                            -0.0497*
ne99               5/7         0/7          0.003       00-05           0.0266                            0.0129
ne02               6/7         1/7          0.012       95-00           0.0691**                            0.00835
bh01               6/7         0/7          0.008       80-85           0.0739                            0.00636
bh02               3/7         0/7          0.004       80-85           0.0553                            -0.0135
bh03               6/7         0/7          0.008       80-85           0.0817                            0.0322
bh04               6/7         1/7          0.026       80-85           0.139**                            0.00655
frng04               2/7         0/7          0.009       90-95           -0.0648                            -0.0307
frsg04               4/7         0/7          0.008       90-95           -0.0636                            -0.0243
pri99               0/7         0/7          0.007       75-80           -0.0956                            -0.0218
pri04               0/7         1/7          0.014       75-80           -0.0950*                            -0.00156
cedp87               0/7         0/7          0.01       05-10           -0.0124                            -0.0124
cedp88               0/7         2/7          0.01       90-95           -0.0162*                            -0.0102
cedp89               0/7         0/7          0.006       95-00           -0.0110                            -0.00405
cedp90               0/7         0/7          0.004       90-95           -0.00910                            -0.00657
cedp91               0/7         1/7          0.009       05-10           -0.00991*                            -0.00991*
cedc87               0/7         1/7          0.017       95-00           -0.0208***                            -0.00116
cedc88               0/7         1/7          0.011       95-00           -0.0128*                            -0.00258
cedc89               0/7         0/7          0.01       95-00           -0.0122                            -0.00399
cedc90               0/7         0/7          0.008       95-00           -0.0114                            -0.00230
cedc91               0/7         0/7          0.007       95-00           -0.0105                            -0.000898
cedc92               0/7         1/7          0.009       00-05           -0.0117*                            -0.00103
cedc93               0/7         0/7          0.006       00-05           -0.0100                            -0.000852
cedc94               0/7         2/7          0.01       95-00           -0.0122*                            -0.00242
cedc95               0/7         1/7          0.01       95-00           -0.0116*                            -0.00207
cedc96               0/7         1/7          0.009       00-05           -0.0121*                            -0.00239
cedpi88               3/7         2/7          0.018       05-10           -0.0785**                            -0.0785**
cedpi89               4/7         0/7          0.007       90-95           -0.0308                            -0.0249
cedpi90               4/7         1/7          0.009       05-10           -0.0287*                            -0.0287*
cedpi91               4/7         0/7          0.012       90-95           -0.0433                            -0.0232
cedpi92               3/7         0/7          0.009       90-95           -0.0374                            -0.0134
cedpi93               4/7         2/7          0.017       05-10           -0.0590***                            -0.0590***
cedpi94               4/7         2/7          0.013       90-95           -0.0625*                            -0.0472*
cedpi95               4/7         2/7          0.012       90-95           -0.0589*                            -0.0417*
cedpi96               4/7         2/7          0.011       90-95           -0.0573*                            -0.0453*
tf03               4/7         0/7          0.007       05-10           0.0450                            0.0450
tf04               4/7         0/7          0.007       90-95           0.0584                            0.0491
